customer_id,first_purchase_date,last_purchase_date,tenure_days,days_since_last_purchase,churn_flag
12346,2009-12-14,2011-01-18,400,325,1
12347,2010-10-31,2011-12-07,402,2,0
12348,2010-09-27,2011-09-25,363,75,0
12349,2010-04-29,2011-11-21,571,18,0
12350,2011-02-02,2011-02-02,0,310,1
12351,2010-11-29,2010-11-29,0,375,1
12352,2010-11-12,2011-11-03,356,36,0
12353,2010-10-27,2011-05-19,204,204,1
12354,2011-04-21,2011-04-21,0,232,1
12355,2010-05-21,2011-05-09,353,214,1
12356,2010-10-11,2011-11-17,402,22,0
12357,2010-11-16,2011-11-06,355,33,0
12358,2009-12-08,2011-12-08,730,1,0
12359,2009-12-05,2011-10-13,677,57,0
12360,2010-02-22,2011-10-18,603,52,0
12361,2010-01-26,2011-02-25,395,287,1
12362,2009-12-01,2011-12-06,735,3,0
12363,2011-04-11,2011-08-22,133,109,1
12364,2011-08-19,2011-12-02,105,7,0
12365,2011-02-21,2011-02-21,0,291,1
12366,2010-03-16,2010-03-16,0,633,1
12367,2011-12-05,2011-12-05,0,4,0
12368,2010-03-21,2010-03-21,0,628,1
12369,2010-03-08,2010-10-22,228,413,1
12370,2010-02-09,2011-10-19,617,51,0
12371,2010-03-04,2011-10-26,601,44,0
12372,2011-02-16,2011-09-29,225,71,0
12373,2010-02-04,2011-02-01,362,311,1
12374,2010-04-30,2011-11-14,563,25,0
12375,2011-09-02,2011-11-29,88,10,0
12376,2010-10-18,2010-11-15,28,389,1
12377,2010-04-29,2011-01-28,274,315,1
12378,2010-05-26,2011-08-02,433,129,1
12379,2010-06-23,2011-09-19,453,81,0
12380,2010-02-15,2011-11-18,641,21,0
12381,2011-08-12,2011-12-05,115,4,0
12383,2010-12-22,2011-06-08,168,184,1
12384,2011-08-10,2011-11-11,93,28,0
12385,2010-11-25,2010-11-25,0,379,1
12386,2010-12-08,2011-01-06,29,337,1
12387,2010-10-20,2010-10-20,0,415,1
12388,2010-05-06,2011-11-24,567,15,0
12389,2010-02-22,2010-11-02,253,402,1
12390,2011-09-21,2011-09-21,0,79,0
